angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[555, 247, 186, 253]",,0.0,,0.0,,0.84,,0.0,,0.0,,0.15,
0.01,,"[557, 243, 188, 258]",,0.0,,0.0,,0.88,,0.0,,0.0,,0.11,
0.0,,"[559, 243, 186, 255]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[560, 240, 184, 256]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,"[562, 238, 183, 256]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 240, 185, 254]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 239, 185, 255]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[566, 239, 183, 257]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 239, 185, 257]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[566, 239, 184, 258]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[565, 238, 185, 258]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[565, 238, 182, 253]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 236, 186, 261]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[565, 238, 186, 259]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[564, 237, 186, 260]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[564, 237, 186, 259]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[564, 236, 185, 259]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[559, 237, 182, 256]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 236, 185, 259]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[565, 239, 184, 257]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[563, 237, 185, 257]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[562, 236, 186, 257]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[554, 233, 191, 261]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[564, 235, 186, 259]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[561, 239, 181, 252]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[561, 240, 180, 247]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[560, 240, 180, 250]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[556, 238, 183, 248]",,0.0,,0.0,,0.94,,0.05,,0.0,,0.0,
0.01,,"[556, 238, 182, 245]",,0.0,,0.01,,0.32,,0.62,,0.02,,0.02,
0.02,,"[560, 239, 186, 247]",,0.0,,0.0,,0.01,,0.95,,0.01,,0.0,
0.01,,"[558, 240, 187, 240]",,0.0,,0.01,,0.02,,0.95,,0.01,,0.0,
0.02,,"[558, 240, 187, 240]",,0.0,,0.01,,0.02,,0.92,,0.02,,0.0,
0.02,,"[555, 240, 193, 242]",,0.0,,0.01,,0.0,,0.91,,0.06,,0.0,
0.02,,"[556, 240, 193, 242]",,0.0,,0.02,,0.0,,0.94,,0.03,,0.0,
0.03,,"[559, 239, 187, 240]",,0.0,,0.03,,0.01,,0.87,,0.06,,0.0,
0.02,,"[561, 238, 184, 245]",,0.0,,0.01,,0.0,,0.91,,0.05,,0.0,
0.02,,"[562, 242, 180, 239]",,0.0,,0.01,,0.0,,0.93,,0.05,,0.0,
0.02,,"[561, 242, 182, 240]",,0.0,,0.02,,0.0,,0.86,,0.1,,0.0,
0.09,,"[562, 243, 181, 239]",,0.0,,0.03,,0.0,,0.73,,0.14,,0.0,
0.04,,"[561, 240, 181, 240]",,0.0,,0.01,,0.0,,0.8,,0.15,,0.0,
0.06,,"[560, 241, 184, 238]",,0.0,,0.01,,0.0,,0.72,,0.2,,0.0,
0.08,,"[557, 241, 181, 236]",,0.0,,0.03,,0.0,,0.69,,0.2,,0.0,
0.13,,"[557, 240, 183, 238]",,0.0,,0.04,,0.0,,0.61,,0.22,,0.0,
0.06,,"[559, 238, 182, 237]",,0.0,,0.02,,0.0,,0.58,,0.34,,0.0,
0.08,,"[556, 241, 182, 232]",,0.0,,0.02,,0.0,,0.63,,0.27,,0.0,
